Outcome,Treatment,Control,Method,Est_Prop,Est_Imput,Neighbors,Caliper_Std,ATE,ATET
dif,LT,CPS,PSM,logit,,1.0,0.1,-2122.159242292012,-142.1544479790147
dif,LT,CPS,PSM,logit,,1.0,0.2,-2122.159242292012,-142.1544479790147
dif,LT,CPS,PSM,logit,,1.0,1.0,-2122.159242292012,-142.1544479790147
dif,LT,CPS,PSM,logit,,10.0,0.1,-2096.141401353078,-445.3958903846326
dif,LT,CPS,PSM,logit,,10.0,0.2,-2354.402093672058,-445.3958903846326
dif,LT,CPS,PSM,logit,,10.0,1.0,-2424.9622761506266,-445.3958903846326
dif,LT,CPS,IPTW,logit,,,,-2779.7619981920807,
dif,LT,CPS,DR,logit,RF,,,-1070.4330625376995,
dif,LT,CPS,DR,logit,GB,,,-979.8687250307397,
re78,LT,CPS,PSM,logit,,1.0,0.1,-889.8284482583996,-366.1893628013693
re78,LT,CPS,PSM,logit,,1.0,0.2,-889.8284482583996,-366.1893628013693
re78,LT,CPS,PSM,logit,,1.0,1.0,-889.8284482583996,-366.1893628013693
re78,LT,CPS,PSM,logit,,10.0,0.1,-841.6075479331101,-572.8252126487153
re78,LT,CPS,PSM,logit,,10.0,0.2,-1002.031836161092,-572.8252126487153
re78,LT,CPS,PSM,logit,,10.0,1.0,-1107.7506285872996,-572.8252126487153
re78,LT,CPS,IPTW,logit,,,,-1634.3904933805652,
re78,LT,CPS,DR,logit,RF,,,-767.6540607200693,
re78,LT,CPS,DR,logit,GB,,,-959.8284053084219,
dif,LT,CPS,PSM,RF,,1.0,0.1,3934.530418585868,491.8900460769881
dif,LT,CPS,PSM,RF,,1.0,0.2,4557.077605180723,1208.736845288958
dif,LT,CPS,PSM,RF,,1.0,1.0,6622.149390096723,2155.3400802321107
dif,LT,CPS,PSM,RF,,10.0,0.1,3742.0102943313013,247.72405528611006
dif,LT,CPS,PSM,RF,,10.0,0.2,4395.165826543748,927.0283797623275
dif,LT,CPS,PSM,RF,,10.0,1.0,4657.106566515422,337.02295816047825
dif,LT,CPS,IPTW,RF,,,,-1068.6920396707635,
dif,LT,CPS,DR,RF,RF,,,-240.7586153277765,
dif,LT,CPS,DR,RF,GB,,,-609.6076994170105,
re78,LT,CPS,PSM,RF,,1.0,0.1,3027.456782975348,4854.238777502259
re78,LT,CPS,PSM,RF,,1.0,0.2,3090.407525971719,5343.880170351499
re78,LT,CPS,PSM,RF,,1.0,1.0,3402.142043540727,5571.871074472675
re78,LT,CPS,PSM,RF,,10.0,0.1,2835.841445661059,4538.252941867961
re78,LT,CPS,PSM,RF,,10.0,0.2,2929.3448336784527,5000.153302596454
re78,LT,CPS,PSM,RF,,10.0,1.0,1437.5144448000017,3717.100387732431
re78,LT,CPS,IPTW,RF,,,,-4079.6369491939067,
re78,LT,CPS,DR,RF,RF,,,-223.52860001741462,
re78,LT,CPS,DR,RF,GB,,,-582.6490643133734,
dif,LT,CPS,PSM,GB,,1.0,0.1,-2188.846156284491,-721.2904698941396
dif,LT,CPS,PSM,GB,,1.0,0.2,-2171.8436977480164,-721.2904698941396
dif,LT,CPS,PSM,GB,,1.0,1.0,-2191.127197520635,-868.8515112702275
dif,LT,CPS,PSM,GB,,10.0,0.1,-1824.902666746141,-479.97539089422577
dif,LT,CPS,PSM,GB,,10.0,0.2,-1981.2709429110957,-379.9785758239778
dif,LT,CPS,PSM,GB,,10.0,1.0,-1547.3531174010473,-469.7356649224188
dif,LT,CPS,IPTW,GB,,,,-1844.0722525306533,
dif,LT,CPS,DR,GB,RF,,,-1087.2975621677442,
dif,LT,CPS,DR,GB,GB,,,-1859.321355557436,
re78,LT,CPS,PSM,GB,,1.0,0.1,-1546.2154853402114,-338.83712056837317
re78,LT,CPS,PSM,GB,,1.0,0.2,-1550.7474935187802,-338.83712056837317
re78,LT,CPS,PSM,GB,,1.0,1.0,-1552.4854432666039,-355.9432083989533
re78,LT,CPS,PSM,GB,,10.0,0.1,-1677.0890686515797,100.29561161077916
re78,LT,CPS,PSM,GB,,10.0,0.2,-1616.65994991302,221.33640465858173
re78,LT,CPS,PSM,GB,,10.0,1.0,-1320.2376957446234,231.34755172192212
re78,LT,CPS,IPTW,GB,,,,-1835.0617497746337,
re78,LT,CPS,DR,GB,RF,,,-1184.5823420238787,
re78,LT,CPS,DR,GB,GB,,,-1859.584932115697,
dif,LT,PSID,PSM,logit,,1.0,0.1,-3103.3689642428053,-693.000061555934
dif,LT,PSID,PSM,logit,,1.0,0.2,-3094.9996749007187,-669.7710597498888
dif,LT,PSID,PSM,logit,,1.0,1.0,-3094.9996749007187,-669.7710597498888
dif,LT,PSID,PSM,logit,,10.0,0.1,-3534.3273023382244,-418.8069470565808
dif,LT,PSID,PSM,logit,,10.0,0.2,-4016.0392542231048,-423.59990200122746
dif,LT,PSID,PSM,logit,,10.0,1.0,-3812.9465611554288,-547.026661531618
dif,LT,PSID,IPTW,logit,,,,-5954.985771311848,
dif,LT,PSID,DR,logit,RF,,,-2953.6659615837793,
dif,LT,PSID,DR,logit,GB,,,-4314.864641518614,
re78,LT,PSID,PSM,logit,,1.0,0.1,-1596.7992785567062,-1067.907741403417
re78,LT,PSID,PSM,logit,,1.0,0.2,-1589.7272955853007,-1043.1506745215177
re78,LT,PSID,PSM,logit,,1.0,1.0,-1589.7272955853007,-1043.1506745215177
re78,LT,PSID,PSM,logit,,10.0,0.1,-2323.6278764382832,-872.240184884743
re78,LT,PSID,PSM,logit,,10.0,0.2,-2660.5227836246977,-909.9846194093751
re78,LT,PSID,PSM,logit,,10.0,1.0,-2926.59143743515,-1096.3608854747954
re78,LT,PSID,IPTW,logit,,,,-2196.5064716166767,
re78,LT,PSID,DR,logit,RF,,,-2726.637828060692,
re78,LT,PSID,DR,logit,GB,,,-3422.914839764158,
dif,LT,PSID,PSM,RF,,1.0,0.1,-1733.6875553620164,-3796.6747567695484
dif,LT,PSID,PSM,RF,,1.0,0.2,-1454.151388498658,-3360.148610107422
dif,LT,PSID,PSM,RF,,1.0,1.0,4293.247388270999,531.6253400714086
dif,LT,PSID,PSM,RF,,10.0,0.1,-1917.5361816047603,-3936.8728703549036
dif,LT,PSID,PSM,RF,,10.0,0.2,-2758.8393956664645,-4091.2658255929127
dif,LT,PSID,PSM,RF,,10.0,1.0,-1157.3581916127946,-3886.661118866927
dif,LT,PSID,IPTW,RF,,,,-1963.545555251662,
dif,LT,PSID,DR,RF,RF,,,-2867.680170645096,
dif,LT,PSID,DR,RF,GB,,,-2079.015533088941,
re78,LT,PSID,PSM,RF,,1.0,0.1,1648.1980026440742,1865.5510599236738
re78,LT,PSID,PSM,RF,,1.0,0.2,1518.8389523468868,2274.218075439453
re78,LT,PSID,PSM,RF,,1.0,1.0,2621.418098341379,4202.363941691596
re78,LT,PSID,PSM,RF,,10.0,0.1,1552.3874867626744,1693.255917693021
re78,LT,PSID,PSM,RF,,10.0,0.2,434.0615155219273,1513.8283698294508
re78,LT,PSID,PSM,RF,,10.0,1.0,-2254.7250289863478,-391.8107581607374
re78,LT,PSID,IPTW,RF,,,,-5601.428196012051,
re78,LT,PSID,DR,RF,RF,,,-3300.768582381095,
re78,LT,PSID,DR,RF,GB,,,-3058.2624941759045,
dif,LT,PSID,PSM,GB,,1.0,0.1,-5081.395997993901,-3684.5791577452446
dif,LT,PSID,PSM,GB,,1.0,0.2,-4895.221615217748,-3684.5791577452446
dif,LT,PSID,PSM,GB,,1.0,1.0,-4681.449843032805,-2801.332432062939
dif,LT,PSID,PSM,GB,,10.0,0.1,-3169.2619430123755,-1881.9462128261823
dif,LT,PSID,PSM,GB,,10.0,0.2,-3543.580114835301,-1618.477944589179
dif,LT,PSID,PSM,GB,,10.0,1.0,-4452.105783438201,-1413.9126487500735
dif,LT,PSID,IPTW,GB,,,,-2951.308867090258,
dif,LT,PSID,DR,GB,RF,,,-2487.2582887036774,
dif,LT,PSID,DR,GB,GB,,,-2598.796528930231,
re78,LT,PSID,PSM,GB,,1.0,0.1,-5520.2116447823,-3151.475478482886
re78,LT,PSID,PSM,GB,,1.0,0.2,-5638.593578324951,-3151.475478482886
re78,LT,PSID,PSM,GB,,1.0,1.0,-5386.47592321965,-2238.195637198811
re78,LT,PSID,PSM,GB,,10.0,0.1,-4648.269356421042,-1302.483896304421
re78,LT,PSID,PSM,GB,,10.0,0.2,-4662.820395967473,-1105.7168561252552
re78,LT,PSID,PSM,GB,,10.0,1.0,-5283.319317939334,-950.6704316367213
re78,LT,PSID,IPTW,GB,,,,-7703.527556719361,
re78,LT,PSID,DR,GB,RF,,,-4002.878682119725,
re78,LT,PSID,DR,GB,GB,,,-3979.6129565236915,
dif,DWT,CPS,PSM,logit,,1.0,0.1,582.9270108112802,650.0866861343384
dif,DWT,CPS,PSM,logit,,1.0,0.2,998.837388044637,650.0866861343384
dif,DWT,CPS,PSM,logit,,1.0,1.0,1294.610131255042,650.0866861343384
dif,DWT,CPS,PSM,logit,,10.0,0.1,862.2294085220067,1554.425065669095
dif,DWT,CPS,PSM,logit,,10.0,0.2,892.0148499982739,1554.425065669095
dif,DWT,CPS,PSM,logit,,10.0,1.0,713.8216378512107,1554.425065669095
dif,DWT,CPS,IPTW,logit,,,,-192.71490058649493,
dif,DWT,CPS,DR,logit,RF,,,838.9431534262927,
dif,DWT,CPS,DR,logit,GB,,,1026.2798894691243,
re78,DWT,CPS,PSM,logit,,1.0,0.1,746.8412826512907,758.5818885435541
re78,DWT,CPS,PSM,logit,,1.0,0.2,995.1474275937089,758.5818885435541
re78,DWT,CPS,PSM,logit,,1.0,1.0,1199.540078699082,758.5818885435541
re78,DWT,CPS,PSM,logit,,10.0,0.1,360.9387776246076,1621.4247116203762
re78,DWT,CPS,PSM,logit,,10.0,0.2,452.1026833864224,1621.4247116203762
re78,DWT,CPS,PSM,logit,,10.0,1.0,21.622359633531204,1621.4247116203762
re78,DWT,CPS,IPTW,logit,,,,-1008.0582396031101,
re78,DWT,CPS,DR,logit,RF,,,819.8586096617345,
re78,DWT,CPS,DR,logit,GB,,,486.84790027809436,
dif,DWT,CPS,PSM,RF,,1.0,0.1,4560.8824106373195,2653.443651781584
dif,DWT,CPS,PSM,RF,,1.0,0.2,4880.631896381072,2927.5837236577813
dif,DWT,CPS,PSM,RF,,1.0,1.0,6882.450980639011,3230.4200465373506
dif,DWT,CPS,PSM,RF,,10.0,0.1,4313.3916097200545,2962.4394278420664
dif,DWT,CPS,PSM,RF,,10.0,0.2,4675.561730830102,3133.746942628801
dif,DWT,CPS,PSM,RF,,10.0,1.0,5050.2262765955265,2337.180150369488
dif,DWT,CPS,IPTW,RF,,,,-646.2093402725858,
dif,DWT,CPS,DR,RF,RF,,,1433.4636889848684,
dif,DWT,CPS,DR,RF,GB,,,1013.4368803075844,
re78,DWT,CPS,PSM,RF,,1.0,0.1,4146.03118415728,4724.8308023553145
re78,DWT,CPS,PSM,RF,,1.0,0.2,4183.364345234346,4896.420833657005
re78,DWT,CPS,PSM,RF,,1.0,1.0,4458.179938467194,5047.280513959054
re78,DWT,CPS,PSM,RF,,10.0,0.1,3903.3408209321087,5000.1082077171695
re78,DWT,CPS,PSM,RF,,10.0,0.2,3982.042114993779,5073.46364157012
re78,DWT,CPS,PSM,RF,,10.0,1.0,2627.834226120879,4133.5069946093345
re78,DWT,CPS,IPTW,RF,,,,-2932.7689416423073,
re78,DWT,CPS,DR,RF,RF,,,1300.8871277625208,
re78,DWT,CPS,DR,RF,GB,,,1134.8961218709935,
dif,DWT,CPS,PSM,GB,,1.0,0.1,-947.8465189123788,1169.2674062882347
dif,DWT,CPS,PSM,GB,,1.0,0.2,-1214.8332160447987,1169.2674062882347
dif,DWT,CPS,PSM,GB,,1.0,1.0,-1214.8332160447987,1169.2674062882347
dif,DWT,CPS,PSM,GB,,10.0,0.1,-690.8165641650049,977.5343601519126
dif,DWT,CPS,PSM,GB,,10.0,0.2,-136.50145397301858,1023.7947728409163
dif,DWT,CPS,PSM,GB,,10.0,1.0,-44.11753817565818,1104.178270909979
dif,DWT,CPS,IPTW,GB,,,,1011.9291150808039,
dif,DWT,CPS,DR,GB,RF,,,702.3449583122168,
dif,DWT,CPS,DR,GB,GB,,,1045.6487884422022,
re78,DWT,CPS,PSM,GB,,1.0,0.1,9.108267140353263,1565.1157622063297
re78,DWT,CPS,PSM,GB,,1.0,0.2,-124.08374570965171,1565.1157622063297
re78,DWT,CPS,PSM,GB,,1.0,1.0,-124.08374570965171,1565.1157622063297
re78,DWT,CPS,PSM,GB,,10.0,0.1,199.6469125530168,1538.4042771727957
re78,DWT,CPS,PSM,GB,,10.0,0.2,176.1344483763169,1584.670749063602
re78,DWT,CPS,PSM,GB,,10.0,1.0,77.15166109833586,1665.0542471326635
re78,DWT,CPS,IPTW,GB,,,,1116.7942452967657,
re78,DWT,CPS,DR,GB,RF,,,740.090316150523,
re78,DWT,CPS,DR,GB,GB,,,308.53287143724754,
dif,DWT,PSID,PSM,logit,,1.0,0.1,-286.3338032647183,776.0362237294515
dif,DWT,PSID,PSM,logit,,1.0,0.2,-637.3460743337104,776.0362237294515
dif,DWT,PSID,PSM,logit,,1.0,1.0,-461.85566929856395,776.0362237294515
